"ID"	"t"	"A0"
97	"2"	0.35527
97	"3"	0.362361
97	"4"	0.369931
97	"5"	0.371336
97	"6"	0.36999
97	"7"	0.255153
97	"8"	0.314452
97	"9"	0.312021
97	"10"	0.307711
97	"11"	0.216583
97	"12"	0.295003
97	"13"	0.28129
97	"14"	0.277162
99	"0"	0.603606
99	"1"	0.572219
99	"2"	0.556547
99	"3"	0.510651
99	"4"	0.513573
99	"5"	0.540515
99	"6"	0.557499
99	"7"	0.778633
99	"8"	0.466524
99	"9"	0.463018
99	"10"	0.45704
99	"11"	0.461838
99	"12"	0.443906
99	"13"	0.428273
99	"14"	0.18218
100	"0"	0.548953
100	"1"	0.522014
100	"2"	0.487618
100	"3"	0.471664
100	"4"	0.443362
100	"5"	0.414074
100	"6"	0.410074
100	"7"	0.370422
100	"8"	0.363956
100	"9"	0.361417
100	"10"	0.362936
100	"11"	0.346437
100	"12"	0.352416
100	"13"	0.341645
100	"14"	0.328718
101	"0"	0.575582
101	"1"	0.586621
101	"2"	0.553881
101	"3"	0.524959
101	"4"	0.51379
101	"5"	0.476233
101	"6"	0.47101
101	"7"	0.426779
101	"8"	0.375786
101	"9"	0.433145
101	"10"	0.421637
101	"11"	0.42109
101	"12"	0.410624
101	"13"	0.404221
101	"14"	0.398846
103	"0"	0.616122
103	"1"	0.459926
103	"2"	0.508461
103	"3"	0.319414
103	"4"	0.439462
103	"5"	0.365201
103	"6"	0.410672
103	"7"	0.373631
103	"8"	0.428448
103	"9"	0.363537
103	"10"	0.288071
103	"11"	0.347399
103	"12"	0.248231
103	"13"	0.373479
103	"14"	0.355433
104	"0"	0.485433
104	"1"	0.419808
104	"2"	0.541585
104	"3"	0.471997
104	"4"	0.450711
104	"5"	0.415084
104	"6"	0.466539
104	"7"	0.376495
104	"8"	0.365035
104	"9"	0.361541
104	"10"	0.334172
104	"11"	0.320523
104	"12"	0.576773
104	"13"	0.419498
104	"14"	0.428848
105	"0"	0.578685
105	"1"	0.596578
105	"2"	0.459298
105	"3"	0.596496
105	"4"	0.377821
105	"5"	0.615095
105	"6"	0.529053
105	"7"	0.550871
105	"8"	0.492938
105	"9"	0.488246
105	"10"	0.526603
105	"11"	0.225849
105	"12"	0.451316
105	"13"	0.430276
105	"14"	0.298165
107	"0"	0.451712
107	"1"	0.460359
107	"2"	0.383118
107	"3"	0.352973
107	"4"	0.21919
107	"5"	0.353007
107	"6"	0.27825
107	"7"	0.310618
107	"8"	0.330222
107	"9"	0.24408
107	"10"	0.333974
107	"11"	0.307634
107	"12"	0.30419
107	"13"	0.317717
107	"14"	0.280469
108	"0"	0.525128
108	"1"	0.544725
108	"2"	0.37956
108	"3"	0.374599
108	"4"	0.46118
108	"5"	0.336157
108	"6"	0.41348
108	"7"	0.319027
108	"8"	0.324463
108	"9"	0.510149
108	"10"	0.478465
108	"11"	0.452129
108	"12"	0.48997
108	"13"	0.471268
108	"14"	0.510235
109	"0"	0.503506
109	"1"	0.398516
109	"2"	0.563111
109	"3"	0.425464
109	"4"	0.460656
109	"5"	0.372187
109	"6"	0.504623
109	"7"	0.381147
109	"8"	0.393534
109	"9"	0.297497
109	"10"	0.333974
109	"11"	0.363744
109	"12"	0.367029
109	"13"	0.342183
109	"14"	0.25698
110	"0"	1
110	"1"	0.336996
110	"2"	0.430831
110	"3"	0.423192
110	"4"	0.422008
110	"5"	0.377029
110	"6"	0.401518
110	"7"	0.389406
110	"8"	0.52992
110	"9"	0.521161
110	"10"	0.515021
110	"11"	0.54262
110	"12"	0.492804
110	"13"	0.505756
110	"14"	0.46726
111	"0"	0.386149
111	"1"	0.461678
111	"2"	0.452702
111	"3"	0.426959
111	"4"	0.489069
111	"5"	0.376456
111	"6"	0.354188
111	"7"	0.339187
111	"8"	0.30541
111	"9"	0.296015
111	"10"	0.327926
111	"11"	0.319556
111	"12"	0.319394
111	"13"	0.270631
111	"14"	0.314107
112	"0"	0.330306
112	"1"	0.253413
112	"2"	0.266947
112	"3"	0.307238
112	"4"	0.319993
112	"5"	0.246846
112	"6"	0.263965
112	"7"	0.270251
112	"8"	0.256805
112	"9"	0.24427
112	"10"	0.246022
112	"11"	0.23145
112	"12"	0.278727
112	"13"	0.233728
112	"14"	0.202776
113	"0"	0.479568
113	"1"	0.551197
113	"2"	0.525895
113	"3"	0.518851
113	"4"	0.509996
113	"5"	0.458952
113	"6"	0.410852
113	"7"	0.408727
113	"8"	0.390723
113	"9"	0.380616
113	"10"	0.38104
113	"11"	0.371838
113	"12"	0.399267
113	"13"	0.361426
113	"14"	0.300554
114	"0"	0.43517
114	"1"	0.39134
114	"2"	0.239053
114	"3"	0.249771
114	"4"	0.297686
114	"5"	0.273295
114	"6"	0.258748
114	"7"	0.159012
114	"8"	0.314501
114	"9"	0.317969
114	"10"	0.301354
114	"11"	0.294443
114	"12"	0.289862
114	"13"	0.277514
114	"14"	0.263129
115	"0"	0.43087
115	"1"	0.355727
115	"2"	0.374945
115	"3"	0.350281
115	"4"	0.347334
115	"5"	0.322976
115	"6"	0.318097
115	"7"	0.294392
115	"8"	0.307853
115	"9"	0.309027
115	"10"	0.257957
115	"11"	0.249799
115	"12"	0.294255
115	"13"	0.400152
115	"14"	0.254302
116	"0"	0.507054
116	"1"	0.484512
116	"2"	0.458052
116	"3"	0.428056
116	"4"	0.419786
116	"5"	0.379035
116	"6"	0.41188
116	"7"	0.341547
116	"8"	0.352085
116	"9"	0.341719
116	"10"	0.338054
116	"11"	0.318186
116	"12"	0.331019
116	"13"	0.322336
116	"14"	0.31703
117	"0"	0.407301
117	"1"	0.379297
117	"2"	0.346017
117	"3"	0.325739
117	"4"	0.301878
117	"5"	0.286205
117	"6"	0.254767
117	"7"	0.242803
117	"8"	0.242403
117	"9"	0.230509
117	"10"	0.233033
117	"11"	0.227178
117	"12"	0.222293
117	"13"	0.220083
117	"14"	0.206998
118	"0"	0.488752
118	"1"	0.588863
118	"2"	0.592436
118	"3"	0.765296
118	"4"	0.430516
118	"5"	0.610893
118	"6"	0.451169
118	"7"	0.586063
118	"8"	0.180925
118	"9"	0.431545
118	"10"	0.358299
118	"11"	0.332544
118	"12"	0.357618
118	"13"	0.370842
118	"14"	0.410731
119	"0"	0.351686
119	"1"	0.358328
119	"2"	0.365192
119	"3"	0.342774
119	"4"	0.343601
119	"5"	0.316105
119	"6"	0.304729
119	"7"	0.286739
119	"8"	0.270196
119	"9"	0.274664
119	"10"	0.263859
119	"11"	0.235998
119	"12"	0.248676
119	"13"	0.231582
119	"14"	0.252164
120	"0"	0.584358
120	"1"	0.459413
120	"2"	0.429699
120	"3"	0.411612
120	"4"	0.377473
120	"5"	0.364292
120	"6"	0.331315
120	"7"	0.311353
120	"8"	0.325341
120	"9"	0.313347
120	"10"	0.285695
120	"11"	0.3628
120	"12"	0.293254
120	"13"	0.304069
120	"14"	0.273076
122	"0"	0.255449
122	"1"	0.442913
122	"2"	0.439606
122	"3"	0.423271
122	"4"	0.525329
122	"5"	0.407142
